Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
currency_Numpad(digits),,,,2024-03-05 15:37:38,2024-03-05 15:37:38,0.004s,PASSED
digit_length = digits.length(),,,,2024-03-05 15:37:38,2024-03-05 15:37:38,0.000s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-05 15:37:38,2024-03-05 15:37:43,4.039s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-05 15:37:43,2024-03-05 15:37:43,0.133s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-05 15:37:43,2024-03-05 15:37:48,4.876s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:48,2024-03-05 15:37:48,0.904s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:48,2024-03-05 15:37:49,0.120s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:49,2024-03-05 15:37:49,0.079s,PASSED
"roundedNumber = Validation.staffConvertUSDToMYR(currency_TextMsg, 10.00)",,,,2024-03-05 15:37:49,2024-03-05 15:37:49,0.007s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:49,2024-03-05 15:37:49,0.092s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-03-05 15:37:49,2024-03-05 15:37:49,0.087s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Total to pay""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:49,2024-03-05 15:37:49,0.072s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 10.00""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:37:49,2024-03-05 15:37:49,0.133s,PASSED
